InvoiceNo,Product,Quantity,Price,CustomerID,DateTime
INV001,Wireless Mouse,2,29.99,CUST001,2026-02-19 06:15:00
INV001,USB-C Cable,3,12.99,CUST001,2026-02-19 06:15:00
INV001,Laptop Stand,1,49.99,CUST001,2026-02-19 06:15:00
INV002,Bluetooth Headphones,1,79.99,CUST002,2026-02-19 07:30:00
INV002,Phone Case,2,15.99,CUST002,2026-02-19 07:30:00
INV003,Mechanical Keyboard,1,129.99,CUST003,2026-02-19 08:00:00
INV003,Desk Pad,1,24.99,CUST003,2026-02-19 08:00:00
INV003,Wireless Mouse,1,29.99,CUST003,2026-02-19 08:00:00
INV004,USB-C Hub,1,39.99,CUST004,2026-02-19 08:45:00
INV004,HDMI Cable,2,9.99,CUST004,2026-02-19 08:45:00
INV005,Webcam HD,1,59.99,CUST005,2026-02-19 09:00:00
INV005,Ring Light,1,34.99,CUST005,2026-02-19 09:00:00
INV005,Tripod,1,22.99,CUST005,2026-02-19 09:00:00
INV006,Wireless Mouse,3,29.99,CUST006,2026-02-19 09:30:00
INV006,Mouse Pad,2,14.99,CUST006,2026-02-19 09:30:00
INV007,Laptop Stand,2,49.99,CUST001,2026-02-19 10:00:00
INV007,Monitor Arm,1,89.99,CUST001,2026-02-19 10:00:00
INV008,Bluetooth Headphones,2,79.99,CUST007,2026-02-19 10:30:00
INV008,USB-C Cable,1,12.99,CUST007,2026-02-19 10:30:00
INV008,Phone Charger,1,19.99,CUST007,2026-02-19 10:30:00
INV009,Mechanical Keyboard,2,129.99,CUST008,2026-02-18 11:00:00
INV009,Keycap Set,1,29.99,CUST008,2026-02-18 11:00:00
INV010,Power Bank,1,44.99,CUST009,2026-02-18 12:00:00
INV010,USB-C Cable,2,12.99,CUST009,2026-02-18 12:00:00
INV011,Webcam HD,2,59.99,CUST010,2026-02-18 12:30:00
INV011,Microphone,1,69.99,CUST010,2026-02-18 12:30:00
INV012,Wireless Mouse,1,29.99,CUST011,2026-02-18 13:00:00
INV012,Desk Pad,2,24.99,CUST011,2026-02-18 13:00:00
INV012,USB-C Hub,1,39.99,CUST011,2026-02-18 13:00:00
INV013,Laptop Bag,1,39.99,CUST012,2026-02-18 14:00:00
INV013,Screen Protector,3,8.99,CUST012,2026-02-18 14:00:00
INV014,Bluetooth Speaker,1,49.99,CUST002,2026-02-18 14:30:00
INV014,Phone Case,1,15.99,CUST002,2026-02-18 14:30:00
INV015,Wireless Charger,2,29.99,CUST013,2026-02-18 15:00:00
INV015,Phone Stand,1,16.99,CUST013,2026-02-18 15:00:00
INV016,Monitor Arm,1,89.99,CUST003,2026-02-17 09:00:00
INV016,HDMI Cable,3,9.99,CUST003,2026-02-17 09:00:00
INV016,USB-C Hub,1,39.99,CUST003,2026-02-17 09:00:00
INV017,Laptop Stand,1,49.99,CUST014,2026-02-17 10:00:00
INV017,Wireless Mouse,2,29.99,CUST014,2026-02-17 10:00:00
INV017,Desk Pad,1,24.99,CUST014,2026-02-17 10:00:00
INV018,Bluetooth Headphones,1,79.99,CUST015,2026-02-17 11:00:00
INV018,Noise Cancelling Buds,1,99.99,CUST015,2026-02-17 11:00:00
INV019,Mechanical Keyboard,1,129.99,CUST004,2026-02-17 12:00:00
INV019,Keycap Set,2,29.99,CUST004,2026-02-17 12:00:00
INV019,Desk Pad,1,24.99,CUST004,2026-02-17 12:00:00
INV020,Webcam HD,1,59.99,CUST016,2026-02-17 13:00:00
INV020,Tripod,1,22.99,CUST016,2026-02-17 13:00:00
INV020,Ring Light,1,34.99,CUST016,2026-02-17 13:00:00
INV021,Power Bank,2,44.99,CUST017,2026-02-17 14:00:00
INV021,USB-C Cable,3,12.99,CUST017,2026-02-17 14:00:00
INV022,Laptop Bag,1,39.99,CUST005,2026-02-16 09:00:00
INV022,Wireless Charger,1,29.99,CUST005,2026-02-16 09:00:00
INV023,Monitor Arm,2,89.99,CUST018,2026-02-16 10:00:00
INV023,HDMI Cable,1,9.99,CUST018,2026-02-16 10:00:00
INV024,Bluetooth Speaker,2,49.99,CUST019,2026-02-16 11:00:00
INV024,USB-C Hub,1,39.99,CUST019,2026-02-16 11:00:00
INV025,Wireless Mouse,2,29.99,CUST006,2026-02-16 12:00:00
INV025,Mouse Pad,1,14.99,CUST006,2026-02-16 12:00:00
INV025,Desk Pad,1,24.99,CUST006,2026-02-16 12:00:00
INV026,Mechanical Keyboard,1,129.99,CUST020,2026-02-16 13:00:00
INV026,USB-C Cable,2,12.99,CUST020,2026-02-16 13:00:00
INV027,Phone Case,3,15.99,CUST007,2026-02-16 14:00:00
INV027,Screen Protector,2,8.99,CUST007,2026-02-16 14:00:00
INV028,Noise Cancelling Buds,1,99.99,CUST008,2026-02-15 09:00:00
INV028,Bluetooth Headphones,1,79.99,CUST008,2026-02-15 09:00:00
INV029,Laptop Stand,1,49.99,CUST021,2026-02-15 10:00:00
INV029,Wireless Mouse,1,29.99,CUST021,2026-02-15 10:00:00
INV029,Monitor Arm,1,89.99,CUST021,2026-02-15 10:00:00
INV030,Ring Light,2,34.99,CUST009,2026-02-15 11:00:00
INV030,Tripod,1,22.99,CUST009,2026-02-15 11:00:00
INV030,Webcam HD,1,59.99,CUST009,2026-02-15 11:00:00
INV031,USB-C Hub,2,39.99,CUST022,2026-02-15 12:00:00
INV031,HDMI Cable,1,9.99,CUST022,2026-02-15 12:00:00
INV031,USB-C Cable,1,12.99,CUST022,2026-02-15 12:00:00
